Date,Ticker,RetailPct,DeltaRetail,SnapshotPrice,Coverage
2025-03-27,AADI,0.22535847152959526,,6525,1
2025-04-30,AADI,0.2237110668403589,-0.0016474046892363536,6725,1
2025-05-28,AADI,0.22801431594575036,0.0043032491053914546,7225,1
2025-06-30,AADI,0.2277711627007385,-0.00024315324501186786,6750,1
2025-07-31,AADI,0.23534106502078822,0.007569902320049726,6800,1
2025-08-29,AADI,0.23901805885638766,0.0036769938355994403,6975,1
2025-09-30,AADI,0.2432770995650773,0.0042590407086896265,7450,1
2025-10-31,AADI,0.23708553783724354,-0.00619156172783375,8550,1
2025-11-28,AADI,0.239695544708586,0.0026100068713424684,7500,1
2025-12-30,AADI,0.24372960990021517,0.00403406519162916,6975,1
2026-01-30,AADI,0.24024842846923045,-0.00348118143098472,7600,1
2026-02-27,AADI,0.2335147899885538,-0.006733638480676651,9250,1
2026-03-31,AADI,0.22093472235448153,-0.012580067634072267,11275,1
2026-04-30,AADI,0.21559408140533856,-0.005340640949142966,11600,1
2026-05-29,AADI,0.21889570980758052,0.003301628402241963,8400,1
2026-06-30,AADI,0.22191400667421118,0.0030182968666306598,7775,1
2026-07-31,AADI,0.22059609044828948,-0.0013179162259217003,9225,1
2025-03-27,AALI,0.09263178247779195,,5600,0.2030443507655429
2025-04-30,AALI,0.0920840054783041,-0.0005477769994878534,5950,0.2030443507655429
2025-05-28,AALI,0.09130964633950425,-0.0007743591387998489,6000,0.2030443507655429
2025-06-30,AALI,0.09125976813410652,-4.98782053977298e-05,5800,0.2030443507655429
2025-07-31,AALI,0.09130663234503017,4.686421092364723e-05,6800,0.2030443507655429
2025-08-29,AALI,0.08924042768642895,-0.0020662046586012173,7425,0.2030443507655429
2025-09-30,AALI,0.08236159604756123,-0.0068788316388677245,8175,0.2030443507655429
2025-10-31,AALI,0.07832363786661972,-0.004037958180941506,7800,0.2030443507655429
2025-11-28,AALI,0.07669090598680321,-0.0016327318798165097,7575,0.2030443507655429
2025-12-30,AALI,0.07408633676172442,-0.00260456922507879,7375,0.2030443507655429
2026-01-30,AALI,0.07047863577401339,-0.0036077009877110294,7400,0.2030443507655429
2026-02-27,AALI,0.07014803679386153,-0.00033059898015186384,7500,0.2030443507655429
2026-03-31,AALI,0.07045722971086353,0.0003091929170020019,7550,0.2030443507655429
2026-04-30,AALI,0.06681638049914859,-0.003640849211714939,8100,0.2030443507655429
2026-05-29,AALI,0.06598512903231694,-0.0008312514668316479,6475,0.2030443507655429
2026-06-30,AALI,0.07042106801195017,0.004435938979633222,5950,0.2030443507655429
2026-07-31,AALI,0.07098810994870824,0.0005670419367580781,6875,0.2030443507655429
2025-03-27,ABBA,0.27154166661300455,,17,0.8835749372127789
2025-04-30,ABBA,0.27484940401160923,0.003307737398604682,33,0.8835749372127789
2025-05-28,ABBA,0.2731530925919206,-0.001696311419688623,37,0.8835749372127789
2025-06-30,ABBA,0.27315308192089843,-1.0671022177000111e-08,37,0.8835749372127789
2025-07-31,ABBA,0.2731530638817895,-1.8039108928835645e-08,37,0.8835749372127789
2025-08-29,ABBA,0.27275823504460806,-0.000394828837181449,43,0.8835749433105059
2025-09-30,ABBA,0.2727430161343947,-1.521891021333266e-05,52,0.8835749433105059
2025-10-31,ABBA,0.2727185970245531,-2.4419109841633535e-05,59,0.8835749433105059
2025-11-28,ABBA,0.27144825197664163,-0.0012703450479114586,55,0.8835749433105059
2025-12-30,ABBA,0.2710725885493788,-0.00037566342726280677,55,0.8835749433105059
2026-01-30,ABBA,0.2708286687998123,-0.0002439197495665013,51,0.8835749433105059
2026-02-27,ABBA,0.2707041798927709,-0.00012448890704142013,50,0.8835749494082329
2026-03-31,ABBA,0.2707042052999666,2.540719568067118e-08,42,0.8835749494082329
2026-04-30,ABBA,0.2707042052999666,0.0,42,0.8835749494082329
2026-05-29,ABBA,0.2706838795434212,-2.032575654536961e-05,36,0.8835749494082329
2026-06-30,ABBA,0.2706838795434212,0.0,30,0.8835749494082329
2026-07-31,ABBA,0.2706838650613197,-1.4482101517998558e-08,30,0.8835749494082329
2025-03-27,ABDA,0.0006711944529978318,,3400,0.9983286101238472
2025-04-30,ABDA,0.0006728052604073139,1.6108074094821345e-06,3400,0.9983286101238472
2025-05-28,ABDA,0.0006728052604073139,0.0,3400,0.9983286101238472
2025-06-30,ABDA,0.0006731274218892103,3.221614818964052e-07,3400,0.9983286101238472
