Ticker,Status,Rows,Message
DSNG,OK,8,
DSSA,OK,8,
DUCK,NO_DATA,0,
DUTI,OK,8,
DVLA,OK,8,
DWGL,OK,8,
DYAN,OK,8,
EAST,OK,8,
ECII,OK,8,
EDGE,OK,9,
EDJSA,NO_DATA,0,
EDJSB,NO_DATA,0,
EKAD,OK,8,
ELIT,OK,8,
ELPI,OK,8,
ELSA,OK,8,
ELTY,OK,8,
EMAS,OK,8,
EMDE,OK,8,
EMMI,OK,8,
EMTK,OK,8,
ENAK,OK,8,
ENRG,OK,9,
ENVY,NO_DATA,0,
ENZO,OK,8,
EPAC,OK,8,
EPMT,OK,8,
ERAA,OK,8,
ERAL,OK,8,
ERTX,OK,8,
ESIP,OK,8,
ESSA,OK,8,
ESTA,OK,8,
ESTI,OK,8,
ETWA,OK,9,
EURO,OK,8,
EXCL,OK,8,
FAPA,OK,8,
FAST,OK,8,
FASW,OK,9,
FILM,OK,8,
FIMP,OK,9,
FINN,NO_DATA,0,
FIRE,OK,8,
FISH,OK,8,
FITT,OK,8,
FLMC,OK,8,
FMII,OK,8,
FOLK,OK,8,
FOOD,OK,9,
FORE,OK,8,
FORU,OK,8,
FORZ,NO_DATA,0,
FPNI,OK,8,
FUJI,OK,8,
FUTR,OK,8,
FWCT,OK,8,
GAMA,NO_DATA,0,
GDST,OK,8,
GDWU,NO_DATA,0,
GDYR,OK,8,
GEMA,OK,8,
GEMS,OK,8,
GGRM,OK,8,
GGRP,OK,8,
GHON,OK,8,
GIAA,OK,8,
GJTL,OK,8,
GLOB,OK,9,
GLVA,OK,8,
GMCW,NO_DATA,0,
GMFI,OK,8,
GMTD,OK,8,
GOLD,OK,8,
GOLF,OK,8,
GOLL,NO_DATA,0,
GOOD,OK,8,
GOTO,OK,8,
GPRA,OK,8,
GPSO,OK,8,
GREN,NO_DATA,0,
GRIA,OK,8,
GRPH,OK,8,
GRPM,OK,8,
GSMF,OK,8,
GTBO,OK,9,
GTRA,OK,8,
GTSI,OK,8,
GULA,OK,8,
GUNA,OK,8,
GWSA,OK,8,
GZCO,OK,8,
HADE,OK,8,
HAIS,OK,8,
HAJJ,OK,8,
HALO,OK,8,
HATM,OK,8,
HBAT,OK,8,
HDFA,OK,8,
HDIT,OK,8,
HDTX,NO_DATA,0,
HEAL,OK,8,
HELI,OK,8,
HERO,OK,8,
HEXA,OK,8,
HGII,OK,8,
HILL,OK,9,
HITS,OK,9,
HKMU,NO_DATA,0,
HMSP,OK,8,
HOKI,OK,8,
HOME,NO_DATA,0,
HOMI,OK,8,
HOPE,OK,8,
HOTL,NO_DATA,0,
HRME,OK,8,
HRTA,OK,8,
HRUM,OK,8,
HUMI,OK,8,
HYGN,OK,8,
IATA,OK,8,
IBFN,OK,9,
IBOS,OK,8,
IBST,OK,9,
ICBP,OK,8,
ICON,OK,8,
IDEA,OK,8,
IDPR,OK,8,
IFII,OK,8,
IFSH,OK,8,
IGAR,OK,8,
IIKP,NO_DATA,0,
IKAI,OK,8,
IKAN,OK,8,
IKBI,OK,8,
IKPM,OK,8,
IMAS,OK,8,
IMJS,OK,8,
IMPC,OK,8,
INAF,OK,9,
INAI,OK,8,
INCF,OK,9,
INCI,OK,8,
INCO,OK,8,
INDF,OK,8,
INDO,OK,8,
INDR,OK,8,
INDS,OK,8,
INDX,OK,9,
INDY,OK,8,
INET,OK,8,
INKP,OK,8,
INOV,OK,8,
INPC,OK,8,
INPP,OK,8,
INPS,OK,8,
INRU,OK,9,
INTA,OK,9,
INTD,OK,8,
INTP,OK,8,
INVS,NO_DATA,0,
IOTF,OK,8,
IPAC,OK,8,
IPCC,OK,8,
IPCM,OK,8,
IPOL,OK,8,
IPPE,OK,9,
IPTV,OK,8,
IRRA,OK,8,
IRSX,OK,8,
ISAP,OK,8,
ISAT,OK,8,
ISEA,OK,8,
ISSP,OK,8,
ITIC,OK,8,
ITMA,OK,8,
ITMG,OK,8,
ITTG,NO_DATA,0,
JAKA,NO_DATA,0,
JARR,OK,8,
JASS,NO_DATA,0,
JAST,OK,8,
JATI,OK,8,
JAWA,OK,8,
JAYA,OK,8,
JECC,OK,8,
JECX,OK,8,
JELI,OK,8,
JGLE,OK,8,
JIHD,OK,8,
JKON,OK,8,
JKSW,NO_DATA,0,
JMAS,OK,9,
JPFA,OK,8,
JRPT,OK,8,
JSKY,NO_DATA,0,
JSMR,OK,8,
JSPT,OK,8,
JTPE,OK,8,
KAEF,OK,8,
KAQI,OK,8,
KARK,NO_DATA,0,
KARW,OK,9,
KAYU,OK,9,
KBAG,OK,8,
KBLI,OK,8,
KBLM,OK,8,
KBLV,OK,8,
KBRI,NO_DATA,0,
KDSI,OK,8,
KDTN,OK,8,
KEEN,OK,8,
KEJU,OK,8,
KETR,OK,8,
KIAS,OK,9,
KICI,OK,8,
KIJA,OK,8,
KING,OK,8,
KINO,OK,8,
KIOS,OK,8,
KJEN,OK,8,
KKES,OK,8,
KKGI,OK,8,
KLAS,OK,8,
KLBF,OK,8,
KLIN,OK,8,
KMDS,OK,8,
KMTR,OK,8,
KOBX,OK,8,
KOCI,OK,8,
KOIN,OK,9,
KOKA,OK,8,
KONI,OK,8,
KOPI,OK,8,
KOTA,OK,8,
KPAL,NO_DATA,0,
KPAS,NO_DATA,0,
KPIG,OK,8,
KRAH,NO_DATA,0,
KRAS,OK,8,
KREN,OK,8,
KRYA,OK,8,
KSIX,OK,8,
KUAS,OK,8,
LABA,OK,8,
LABS,OK,8,
LAJU,OK,8,
LAND,OK,8,
LAPD,OK,8,
LCGP,NO_DATA,0,
LCKM,OK,9,
LEAD,OK,8,
LFLO,OK,8,
LIFE,OK,8,
LINK,OK,8,
LION,OK,8,
LIVE,OK,8,
LMAS,NO_DATA,0,
LMAX,OK,8,
LMPI,OK,8,
LMSH,OK,9,
LOPI,OK,8,
LPCK,OK,8,
LPGI,OK,8,
LPIN,OK,8,
LPKR,OK,8,
LPLI,OK,8,
LPPF,OK,8,
LPPS,OK,8,
LRNA,OK,8,
LSIP,OK,8,
LTLS,OK,8,
LUCK,OK,8,
LUCY,OK,8,
MABA,NO_DATA,0,
MAGP,NO_DATA,0,
